Year,YALE.SPCOMP - S&P Composite,YALE.SPCOMP - Dividend,YALE.SPCOMP - Earnings,YALE.SPCOMP - CPI,YALE.SPCOMP - Long Interest Rate,YALE.SPCOMP - Real Price,YALE.SPCOMP - Real Dividend,YALE.SPCOMP - Real Earnings,YALE.SPCOMP - Cyclically Adjusted PE Ratio
1885-10-31,4.92,0.2517,0.2767,7.8970910739999995,3.4075,148.12645808927,7.5779328254205,8.3306079173375,15.991023962169
1885-11-30,5.24,0.2458,0.2733,7.992232066000001,3.395,155.8826870531,7.312206961383799,8.1302935823686,16.824034498619
1885-12-31,5.2,0.24,0.27,8.18251405,3.3825,151.09540814048,6.973634221868499,7.8453384996021,16.304475952279
1886-01-31,5.2,0.2383,0.275,7.992232066000001,3.37,154.69274287712,7.089092428388,8.180866209847599,16.692317470798
1886-02-28,5.3,0.2367,0.28,7.992232066000001,3.3825,157.66760331706,7.0414946613488,8.329609231844799,17.006648259461
1886-03-31,5.19,0.235,0.285,7.8970910739999995,3.395,156.25534908197,7.07514586402,8.580496047854,16.843266101570002
1886-04-30,5.12,0.2333,0.29,7.801941983,3.4075,156.02777906481,7.1096251671524,8.8375109235928,16.801716131246
1886-05-31,5.02,0.2317,0.295,7.611651901,3.42,156.80484611273002,7.237387020780901,9.2146274110072,16.863195515098
1886-06-30,5.25,0.23,0.3,7.51650281,3.4325,166.06501973755,7.2752294361212,9.4894296992886,17.831494055377
1886-07-31,5.33,0.2283,0.305,7.611651901,3.445,166.48801390057,7.131184535365899,9.526987662227802,17.845845041531998
1886-08-31,5.37,0.2267,0.31,7.706792892999999,3.4575,165.66672223146003,6.9937888137563,9.5636282852424,17.723912799619
1886-09-30,5.51,0.225,0.315,7.706792892999999,3.47,169.98578016673,6.941343110256599,9.717880354359199,18.1471439258
1886-10-31,5.65,0.2233,0.32,7.706792892999999,3.4825,174.30483810200002,6.8888974067569,9.872132423476,18.562381342867
1886-11-30,5.79,0.2217,0.325,7.706792892999999,3.495,178.62389603727001,6.8395367446395,10.026384492593,18.968312634943
1886-12-31,5.64,0.22,0.33,7.801941983,3.5075,171.87435037608003,6.704318631691099,10.056477947537001,18.194057556886
1887-01-31,5.58,0.2225,0.3325,7.992232066000001,3.52,165.99721254891,6.619064478876701,9.891410962815801,17.512222096305
1887-02-28,5.54,0.225,0.335,8.087381157000001,3.5325,162.86828942889,6.614686845036,9.8485337470536,17.125366596972
1887-03-31,5.67,0.2275,0.3375,8.087381157000001,3.545,166.69010849491002,6.6881833655364,9.922030267554,17.473213711514
1887-04-30,5.8,0.23,0.34,8.087381157000001,3.5575,170.51192756093,6.7616798860368,9.9955267880544,17.822983639101
1887-05-31,5.9,0.2325,0.3425,8.087381157000001,3.57,173.45178838093997,6.8351764065372,10.069023308555,18.075445427458
1887-06-30,5.73,0.235,0.345,7.992232066000001,3.5825,170.45950320882,6.9909220338698,10.263268517809,17.707695663273
1887-07-31,5.59,0.2375,0.3475,7.8970910739999995,3.595,168.29815055264,7.1504133732117,10.462183777647,17.431460535613
1887-08-31,5.45,0.24,0.35,7.992232066000001,3.6075,162.12989397698,7.139665055867,10.412011539806,16.739849614821
1887-09-30,5.38,0.2425,0.3525,7.8970910739999995,3.62,161.97567978054,7.3009483915951,10.61271879603,16.67662966738
1887-10-31,5.2,0.245,0.355,7.992232066000001,3.6325,154.69274287712,7.2884080778642,10.560754561803,15.880666812517
1887-11-30,5.3,0.2475,0.3575,8.087381157000001,3.645,155.81262346084998,7.276155529539599,10.510002431557,15.950712201066999
1887-12-31,5.27,0.25,0.36,8.277679339,3.6575,151.36891527032,7.1806885801861,10.340191555468,15.455513454470001
1888-01-31,5.31,0.2483,0.3517,8.372844628,3.67,150.78431627383,7.050799572653901,9.9869762774965,15.35866251426
1888-02-29,5.28,0.2467,0.3433,8.277679339,3.6516666666667,151.65614281353,7.085903490927699,9.8605215583116,15.418178318821
1888-03-31,5.08,0.245,0.335,8.277679339,3.6333333333332996,145.91159194938,7.0370748085824,9.6221226974494,14.808972366947
1888-04-30,5.1,0.2433,0.3267,8.18251405,3.615,148.18972721471002,7.0695216924192,9.4928595845185,15.020108681844
1888-05-31,5.17,0.2417,0.3183,8.087381157000001,3.5966666666667004,151.99080439483,7.1056436019787,9.3575769901109,15.387916957228999
1888-06-30,5.01,0.24,0.31,7.992232066000001,3.5783333333333,149.04050804122,7.139665055867,9.222067363828199,15.077628818434999
1888-07-31,5.14,0.2383,0.3017,8.087381157000001,3.56,151.10884614882,7.0056883340980995,8.8695600939883,15.279642515497999
1888-08-31,5.25,0.2367,0.2933,8.087381157000001,3.5416666666667003,154.34269305083998,6.9586505609779,8.622611785106901,15.602911670089
1888-09-30,5.38,0.235,0.285,8.087381157000001,3.5233333333332997,158.16451211686,6.908672927037599,8.378603337045599,15.987828821761001
1888-10-31,5.35,0.2333,0.2767,8.18251405,3.505,155.45392952915,6.7789535998414,8.0400191216293,15.715941874329998
