Date,Country,Composite Leading Index
1997-01-01,Czech Republic,101.0959
1991-01-01,Czech Republic,
1956-01-01,Belgium,
1959-01-01,Finland,
1972-01-01,Portugal,
1994-01-01,Belgium,98.48482
1979-01-01,People's Republic of China.: Mainland,
1993-01-01,Russia,
1959-01-01,Austria,
1958-01-01,Czech Republic,
2009-01-01,New Zealand,99.95815
1983-01-01,Portugal,101.295
1961-01-01,Norway,
1996-01-01,Mexico,93.46236
1997-01-01,Turkey,101.674
1992-01-01,Portugal,100.1799
2005-01-01,Slovenia,98.46925
1993-01-01,Germany,100.1552
2012-01-01,New Zealand,98.79688
1985-01-01,South Africa,100.9027
2002-01-01,Netherlands,101.1301
1956-01-01,Slovenia,
1957-01-01,Portugal,
1968-01-01,Belgium,98.62674
1957-01-01,South Africa,
1973-01-01,Poland,
2014-01-01,Russia,99.58714
2004-01-01,Slovenia,99.50902
2009-01-01,Mexico,100.1503
1989-01-01,Australia,100.5244
1970-01-01,Slovak Republic,
1981-01-01,Turkey,
1980-01-01,New Zealand,
1977-01-01,South Africa,101.3338
1996-01-01,Belgium,101.2974
1983-01-01,Luxembourg,
1970-01-01,Czech Republic,
1986-01-01,Estonia,
1969-01-01,Poland,
2008-01-01,Luxembourg,101.424
1959-01-01,Canada,98.32745
1989-01-01,Canada,101.7453
1957-01-01,Israel,
1981-01-01,Finland,
2010-01-01,Belgium,97.05358
2015-01-01,Italy,100.1533
1971-01-01,Ireland,
1992-01-01,India,
1963-01-01,Sweden,
1997-01-01,Norway,99.94938
1958-01-01,Sweden,
2001-01-01,People's Republic of China.: Mainland,100.0271
1963-01-01,India,
1990-01-01,Czech Republic,
1974-01-01,Mexico,
1963-01-01,Australia,
1975-01-01,Germany,99.26693
2001-01-01,New Zealand,101.1442
1966-01-01,Switzerland,
2001-01-01,Denmark,100.5703
1979-01-01,Sweden,99.28842
1998-01-01,Norway,101.0318
1959-01-01,Chile,
1968-01-01,Australia,100.0122
1978-01-01,Austria,99.70594
1959-01-01,Korea,
2008-01-01,United Kingdom,101.1224
2011-01-01,Denmark,99.67784
1970-01-01,Chile,
1965-01-01,South Africa,
1962-01-01,Greece,
2002-01-01,South Africa,100.3208
1967-01-01,Australia,
1976-01-01,Brazil,
2007-01-01,Netherlands,100.5768
1999-01-01,Finland,100.8399
1957-01-01,Spain,
1981-01-01,Switzerland,102.4516
2002-01-01,Japan,100.5922
1990-01-01,Estonia,
1965-01-01,Japan,99.6418
2010-01-01,Austria,97.24315
1984-01-01,Estonia,
2008-01-01,Czech Republic,103.2729
